Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47
ID,Crash ID,crash_fatal_fl,case_id,rpt_block_num,rpt_street_name,rpt_street_sfx,crash_speed_limit,road_constr_zone_fl,latitude,longitude,crash_sev_id,sus_serious_injry_cnt,nonincap_injry_cnt,poss_injry_cnt,non_injry_cnt,unkn_injry_cnt,tot_injry_cnt,death_cnt,units_involved,point,motor_vehicle_death_count,motor_vehicle_serious_injury_count,bicycle_death_count,bicycle_serious_injury_count,pedestrian_death_count,pedestrian_serious_injury_count,motorcycle_death_count,motorcycle_serious_injury_count,other_death_count,other_serious_injury_count,onsys_fl,private_dr_fl,micromobility_serious_injury_count,micromobility_death_count,Crash timestamp (US/Central),Crash timestamp,Is deleted,Is temporary record,Law enforcement fatality count,Reported street prefix,Estimated Maximum Comprehensive Cost,Estimated Total Comprehensive Cost,Location ID,Location group,Address,Collision type
"2,070","13,683,585",FALSE,140251125,5300,NOT REPORTED,EXPY,65,FALSE,30.33508505,-97.75558521,5,0,0,0,1,0,0,0,Passenger car,POINT (-97.75558521 30.33508505),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Jan 25 04:38:00 PM,2014 Jan 25 10:38:00 PM,FALSE,FALSE,0,,"20,000","20,000",9E521D0D10F,2,5300 LOOP 1,ONE MOTOR VEHICLE - GOING STRAIGHT
"1,074","13,662,068",FALSE,140280514,3200,NOT REPORTED,EXPY,65,FALSE,30.22371667,-97.7470924,5,0,0,0,2,0,0,0,Large passenger vehicle & Motor vehicle – other,POINT (-97.7470924 30.22371667),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Jan 28 08:11:00 AM,2014 Jan 28 02:11:00 PM,FALSE,FALSE,0,,"20,000","40,000",C63064D4A38,2,3200 IH 35,ONE MOTOR VEHICLE - GOING STRAIGHT
"3,066","13,708,036",FALSE,140460265,7703,PEACEFUL HILL LN,LN,30,FALSE,30.18300974,-97.78725265,0,0,0,0,0,1,0,0,Motor vehicle – other & Passenger car,POINT (-97.78725265 30.18300974),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Feb 15 01:57:00 AM,2014 Feb 15 07:57:00 AM,FALSE,FALSE,0,,"20,000","20,000",CF537AEE67,1,7703 PEACEFUL HILL LN,ONE MOTOR VEHICLE - GOING STRAIGHT
"2,125","13,684,740",FALSE,140280624,12700,RESEARCH BLVD NB,BLVD,65,FALSE,30.43234113,-97.76660564,1,1,0,0,0,0,1,0,Large passenger vehicle,POINT (-97.76660564 30.43234113),0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Jan 28 09:18:00 AM,2014 Jan 28 03:18:00 PM,FALSE,FALSE,0,,"3,000,000","3,000,000",65A3BCE870,1,12700 RESEARCH BLVD NB BLVD,ONE MOTOR VEHICLE - GOING STRAIGHT
960,"13,658,653",FALSE,140211420,2800,MANCHACA,RD,40,FALSE,30.24267253,-97.78164358,3,0,0,1,1,0,1,0,Large passenger vehicle & Passenger car,POINT (-97.78164358 30.24267253),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Jan 21 07:23:00 PM,2014 Jan 22 01:23:00 AM,FALSE,FALSE,0,,"200,000","220,000",430A28EF69,1,2800 MANCHACA RD,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED
"1,508","13,668,491",FALSE,140171311,4400,AIRPORT,BLVD,45,FALSE,30.30034477,-97.71293247,2,0,1,0,2,0,1,0,Large passenger vehicle & Passenger car,POINT (-97.71293247 30.30034477),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Jan 17 04:43:00 PM,2014 Jan 17 10:43:00 PM,FALSE,FALSE,0,,"250,000","290,000",1968FF9296,1,AIRPORT BLVD & PARKWOOD RD,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN
"3,120","13,709,194",FALSE,140421651,2600,BAXTER,DR,25,FALSE,30.21377566,-97.81007074,0,0,0,0,0,2,0,0,Large passenger vehicle & Passenger car,POINT (-97.81007074 30.21377566),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Feb 11 11:45:00 PM,2014 Feb 12 05:45:00 AM,FALSE,FALSE,0,,"20,000","40,000",11FC62AE03,1,2600 BAXTER DR,ONE MOTOR VEHICLE - GOING STRAIGHT
"1,795","13,676,402",FALSE,140241094,6705,US 290,HWY,45,FALSE,30.23405479,-97.86800706,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.86800706 30.23405479),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Jan 24 03:39:00 PM,2014 Jan 24 09:39:00 PM,FALSE,FALSE,0,,"20,000","40,000",5AFF0328CD9,2,6705 W US 290,OPPOSITE DIRECTION - BOTH GOING STRAIGHT
"1,962","13,679,879",FALSE,140231795,4400,NOT REPORTED,HWY,65,FALSE,30.30544173,-97.75815894,5,0,0,0,1,0,0,0,Large passenger vehicle,POINT (-97.75815894 30.30544173),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Jan 23 10:17:00 PM,2014 Jan 24 04:17:00 AM,FALSE,FALSE,0,,"20,000","20,000",4DFC1611E82,2,4400 LOOP 1,ONE MOTOR VEHICLE - GOING STRAIGHT
711,"13,650,716",FALSE,140030660,1200,BARBARA JORDAN,BLVD,30,FALSE,30.30655183,-97.70892573,5,0,0,0,2,0,0,0,Passenger car,POINT (-97.70892573 30.30655183),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Jan 03 10:42:00 AM,2014 Jan 03 04:42:00 PM,FALSE,FALSE,0,,"20,000","40,000",0ABE8CC48A,1,1200 BARBARA JORDAN BLVD,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN
